['0', '10.11.10.1', '"get', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail', 'http/1.1"', 'status:', '200', 'len:', '1893', 'time:', '0.2477829', ['10.11.10.1', '"get', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail', 'http/1.1"', 'status:', '200', 'len:', '1893', 'time:', '0.2477829'], 'E0']
['1', '10.11.10.1', '"get', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail', 'http/1.1"', 'status:', '200', 'len:', '1893', 'time:', '0.2577181', ['10.11.10.1', '"get', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail', 'http/1.1"', 'status:', '200', 'len:', '1893', 'time:', '0.2577181'], 'E1']
['2', '10.11.10.1', '"get', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail', 'http/1.1"', 'status:', '200', 'len:', '1893', 'time:', '0.2731631', ['10.11.10.1', '"get', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail', 'http/1.1"', 'status:', '200', 'len:', '1893', 'time:', '0.2731631'], 'E2']
['3', '10.11.10.1', '"get', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail', 'http/1.1"', 'status:', '200', 'len:', '1893', 'time:', '0.2580249', ['10.11.10.1', '"get', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail', 'http/1.1"', 'status:', '200', 'len:', '1893', 'time:', '0.2580249'], 'E3']
['4', '10.11.10.1', '"get', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail', 'http/1.1"', 'status:', '200', 'len:', '1893', 'time:', '0.2727931', ['10.11.10.1', '"get', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail', 'http/1.1"', 'status:', '200', 'len:', '1893', 'time:', '0.2727931'], 'E4']
['5', '10.11.10.1', '"get', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail', 'http/1.1"', 'status:', '200', 'len:', '1893', 'time:', '0.2642131', ['10.11.10.1', '"get', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail', 'http/1.1"', 'status:', '200', 'len:', '1893', 'time:', '0.2642131'], 'E5']
['9', '10.11.10.1', '"get', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail', 'http/1.1"', 'status:', '200', 'len:', '1893', 'time:', '0.4256971', ['10.11.10.1', '"get', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail', 'http/1.1"', 'status:', '200', 'len:', '1893', 'time:', '0.4256971'], 'E6']
['10', '10.11.10.1', '"get', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail', 'http/1.1"', 'status:', '200', 'len:', '1893', 'time:', '0.2661140', ['10.11.10.1', '"get', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail', 'http/1.1"', 'status:', '200', 'len:', '1893', 'time:', '0.2661140'], 'E7']
['14', '10.11.10.1', '"get', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail', 'http/1.1"', 'status:', '200', 'len:', '1893', 'time:', '0.2563808', ['10.11.10.1', '"get', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail', 'http/1.1"', 'status:', '200', 'len:', '1893', 'time:', '0.2563808'], 'E8']
['15', '10.11.10.1', '"get', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail', 'http/1.1"', 'status:', '200', 'len:', '1893', 'time:', '0.2580891', ['10.11.10.1', '"get', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail', 'http/1.1"', 'status:', '200', 'len:', '1893', 'time:', '0.2580891'], 'E9']
['16', '10.11.10.1', '"get', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail', 'http/1.1"', 'status:', '200', 'len:', '1893', 'time:', '0.2733629', ['10.11.10.1', '"get', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail', 'http/1.1"', 'status:', '200', 'len:', '1893', 'time:', '0.2733629'], 'E10']
